Name	GC-MF-9021-P-WCL-R1	GC-MF-9021-P-NUC-R1	GC-MF-9021-P-CYT-R1	GC-MF-9021-P-MEB-R1	GC-MF-9021-P-WCL-R2	GC-MF-9021-P-NUC-R2	GC-MF-9021-P-CYT-R2	GC-MF-9021-P-MEB-R2	GC-MF-9021-CA-WCL-R1	GC-MF-9021-CA-NUC-R1	GC-MF-9021-CA-CYT-R1	GC-MF-9021-CA-MEB-R1	GC-MF-9021-CA-WCL-R2	GC-MF-9021-CA-NUC-R2	GC-MF-9021-CA-CYT-R2	GC-MF-9021-CA-MEB-R2	
ENST00000365289.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363425.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363282.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364361.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363269.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516514.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000515913.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000612925.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516128.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364841.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365229.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516382.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365434.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516443.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363658.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384718.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000582426.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384776.1	0	6.574266	304.05736	13.82655	7.682423	3.690285	404.397343	17.283813	0.680449	8.364183	109.459624	4.830764	0	1.512459	221.709999	0	
ENST00000516068.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000577618.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000572849.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000579513.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000411249.1	0	0	0	0	0	0	0	0	0	0.10064	0	0	0	0	0	0	
ENST00000618470.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000383908.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000515954.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000621236.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517027.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516620.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000579987.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391030.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384264.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459581.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000614682.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365169.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363232.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364033.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363480.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
